1,1380
2,3671
3,6611
4,10283
5,14424
6,18151
7,23120
8,27592
9,33555
10,42500
11,50551
12,61286
13,77389
14,91882
15,111206
16,140192
17,178840
18,198164
19,225218
20,256137
21,290921
22,333435
23,358943
24,392954
25,431216
26,473729
27,524745
28,560456
29,606370
30,657386
31,713504
32,805333
33,851248
34,915529
35,988993
36,1071640
37,1172653
38,1233261
39,1314072
40,1404984
41,1505997
42,1627213
43,1712064
44,1821158
45,1942374
46,2075712
47,2342388
48,2475726
49,2662399
50,2875740
51,3115749
52,3382426
53,3702438
54,3894445
55,4150454
56,4438464
57,4758475
58,5110487
59,5526501
60,5817711
61,6192124
62,6608138
63,7065753
64,7564969
65,8147388
66,8613323
67,9195742
68,9836403
69,10535306
70,11292451
71,13039709
72,13738611
73,14612239
74,15573229
75,16620708
76,17877683
77,20391634
78,22930724
79,25495205
80,28085330
81,30701357
82,33343545
83,36012154
84,38707449
85,41429697
86,44179168
87,46956133
88,49760868
89,52593650
90,55454761
91,58344482
92,61263100
93,64210905
94,67188188
95,70195243
96,73232369
97,76299867
98,79398039
99,82527193
100,85687639
101,88879689
102,92103659
103,95359870
104,98648642
105,101970302
106,105325179
107,108713604
108,112135914
109,115592447
110,119083545
111,122609554
112,126170823
113,129767705
114,133400556
115,137069735
116,140775606
117,144518536
118,148298895
119,152117057
120,155973401
121,159868309
122,163802166
123,167775361
124,171788288
125,175841345
126,179934932
127,184069455
128,188245323
129,192462950
130,196722753
131,201025155
132,205370580
133,209759459
134,214192227
135,218669323
136,223191190
137,227758276
138,232371032
139,237029916
140,241735389
141,246487917
142,251287969
143,256136023
144,261032557
145,265978056
146,270973010
147,276017914
148,281113267
149,286259573
150,291457342
151,296707089
152,302009334
153,307364601
154,312773421
155,318236329
156,323753866
157,329326578
158,334955017
159,340639741
160,346381312
161,352180299
162,358037276
163,363952822
164,369927524
165,375961973
166,382056766
167,388212507
168,394429806
169,400709278
170,407051544
171,413457233
172,419926979
173,426461423
174,433061211
175,439726997
176,446459440
177,453259208
178,460126974
179,467063417
180,474069225
181,481145091
182,488291716
183,495509807
184,502800078
185,510163253
186,517600059
187,525111233
188,532697519
189,540359668
190,548098438
191,555914596
192,563808916
193,571782179
194,579835174
195,587968700
196,596183560
197,604480570
198,612860549
199,621324328
200,629872745
201,638506646
202,647226886
203,656034329
204,664929846
205,673914318
206,682988635
207,692153695
208,701410405
209,710759683
210,720202454
211,729739652
212,739372222
213,749101118
214,758927303
215,768851749
216,778875440
217,788999369
218,799224536
219,809551955
220,819982648
221,830517648
222,841157998
223,851904752
224,862758973
225,873721737
226,884794128
227,895977243
228,907272189
229,918680084
230,930202059
231,941839253
232,953592819
233,965463921
234,977453734
235,989563445
236,1001794253
237,1014147369
238,1026624017
239,1039225430
240,1051952858
241,1064807561
242,1077790810
243,1090903892
244,1104148104
245,1117524759
246,1131035180
247,1144680706
248,1158462686
249,1172382487
