;ProductId,RN,price,begintime, endtime, Totalcount, PersonalCount,PersonalDailyCount, saleRate,cashbackRate, SaleBeginTime, SaleEndtime, tag, ItemID1,num1,day1,Accuracy,Damage,KickBack,Weight,FireRate,Ammo,Parts1,Parts2,PaintCnt,Paintid1,Paintid2,Paintid3
41250100,2618,3600,0,0,0,1,0,0,70,0,0,64,2618,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250101,2707,3200,0,0,0,0,0,0,50,0,0,0,2707,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250102,2766,3200,0,0,0,0,0,0,50,0,0,0,2766,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250103,2840,3000,0,0,0,0,0,0,50,0,0,0,2840,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250104,8820,2880,0,0,0,0,0,0,50,0,0,0,8820,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250105,8835,2880,0,0,0,0,0,0,50,0,0,0,8835,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250106,8936,2880,0,0,0,0,0,0,50,0,0,0,8936,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250107,8286,2880,0,0,0,0,0,0,50,0,0,0,8286,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250108,8351,2880,0,0,0,0,0,0,50,0,0,0,8351,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250109,8523,2880,0,0,0,0,0,0,50,0,0,0,8523,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250110,8656,2880,0,0,0,0,0,0,50,0,0,0,8656,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250111,8666,2880,0,0,0,0,0,0,50,0,0,0,8666,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250112,8720,2880,0,0,0,0,0,0,50,0,0,0,8720,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250113,8753,2880,0,0,0,0,0,0,50,0,0,0,8753,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250114,2623,2560,0,0,0,0,0,0,50,0,0,0,2623,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250115,2653,2560,0,0,0,0,0,0,50,0,0,0,2653,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250116,9219,2560,0,0,0,0,0,0,50,0,0,0,9219,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250117,8133,2000,0,0,0,0,0,0,50,0,0,0,8133,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250118,8563,2000,0,0,0,0,0,0,50,0,0,0,8563,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250119,2841,1850,0,0,0,0,0,0,50,0,0,0,2841,2,0,0,0,0,0,0,0,0,0,0,0,0,0
41250120,2841,1460,0,0,0,0,0,0,50,0,0,0,2841,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250121,2681,1360,0,0,0,0,0,0,50,0,0,0,2681,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250122,2683,1360,0,0,0,0,0,0,50,0,0,0,2683,2,0,0,0,0,0,0,0,0,0,0,0,0,0
41250123,9167,1290,0,0,0,0,0,0,5,0,0,0,9167,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250124,8889,1260,0,0,0,0,0,0,5,0,0,0,8889,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250125,2763,1260,0,0,0,0,0,0,5,0,0,0,2763,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250126,2700,1260,0,0,0,0,0,0,5,0,0,0,2700,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250127,2652,1260,0,0,0,0,0,0,5,0,0,0,2652,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250128,2622,1260,0,0,0,0,0,0,5,0,0,0,2622,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250129,2683,1260,0,0,0,0,0,0,5,0,0,0,2683,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250130,2682,1260,0,0,0,0,0,0,5,0,0,0,2682,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250131,2764,1260,0,0,0,0,0,0,5,0,0,0,2764,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250132,8383,1260,0,0,0,0,0,0,5,0,0,0,8383,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250133,8221,1110,0,0,0,0,0,0,5,0,0,0,8221,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250134,8426,1110,0,0,0,0,0,0,5,0,0,0,8426,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250135,8356,1110,0,0,0,0,0,0,5,0,0,0,8356,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250136,8414,1110,0,0,0,0,0,0,5,0,0,0,8414,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250137,8258,1110,0,0,0,0,0,0,5,0,0,0,8258,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250138,2705,900,0,0,0,0,0,0,5,0,0,0,2705,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250139,2845,645,0,0,0,1,0,0,5,0,0,0,2845,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250140,8886,550,0,0,0,0,0,0,5,0,0,0,8886,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250141,8851,550,0,0,0,0,0,0,5,0,0,0,8851,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250142,2842,450,0,0,0,0,0,0,5,0,0,0,2842,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250143,2794,450,0,0,0,0,0,0,5,0,0,0,2794,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250144,2793,450,0,0,0,0,0,0,5,0,0,0,2793,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250145,2762,450,0,0,0,0,0,0,5,0,0,0,2762,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250146,2699,270,0,0,0,0,0,0,5,0,0,0,2699,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250147,2621,270,0,0,0,0,0,0,5,0,0,0,2621,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250148,8416,270,0,0,0,0,0,0,5,0,0,0,8416,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250149,2781,60,0,0,0,2,0,0,5,0,0,0,2781,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250150,8658,30,0,0,0,0,0,0,5,0,0,0,8658,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250151,8310,30,0,0,0,0,1,0,5,0,0,0,8310,5,0,0,0,0,0,0,0,0,0,0,0,0,0
41250152,6130,30,0,0,0,0,0,0,5,0,0,0,6130,30,0,0,0,0,0,0,0,0,0,0,0,0,0
41250153,5250,30,0,0,0,43,0,0,5,0,0,0,5250,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250154,8481,30,0,0,0,43,0,0,5,0,0,0,8481,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250155,8566,30,0,0,0,43,0,0,5,0,0,0,8566,2,0,0,0,0,0,0,0,0,0,0,0,0,0
41250156,2573,30,0,0,0,10,0,0,5,0,0,0,2573,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41250157,2572,30,0,0,0,10,0,0,5,0,0,0,2572,2,0,0,0,0,0,0,0,0,0,0,0,0,0
41250158,2571,30,0,0,0,0,0,0,5,0,0,0,2571,5,0,0,0,0,0,0,0,0,0,0,0,0,0
